City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Kandrian,PG,2021-10-18 19:48:25,-6.2167,149.55,76.48,89,100,5.17
249,Igarka,RU,2021-10-18 19:48:26,67.4667,86.5833,35.91,93,100,13.47
250,Sibay,RU,2021-10-18 19:48:27,52.7181,58.6658,48.96,36,100,9.48
251,Olden,NO,2021-10-18 19:48:28,61.8364,6.8064,45.16,62,100,7.85
252,Khatanga,RU,2021-10-18 19:41:08,71.9667,102.5,30.11,98,100,7.9
253,Inta,RU,2021-10-18 19:39:21,66.0317,60.1659,36.27,85,99,15.55
254,Saint-Pierre,RE,2021-10-18 19:46:21,-21.3393,55.4781,73.04,77,0,4.61
255,Fare,PF,2021-10-18 19:46:22,-16.7,-151.0167,79.97,78,73,17.58
256,Mpika,ZM,2021-10-18 19:48:29,-11.8343,31.4529,70.79,40,63,9.04
257,Adrar,MR,2021-10-18 19:48:29,20.5022,-10.0711,87.75,11,100,8.37
258,Awbari,LY,2021-10-18 19:48:30,26.5921,12.7805,77.14,26,96,12.73
259,Udachnyy,RU,2021-10-18 19:48:30,66.4167,112.4,25.54,91,99,8.88
260,Kudahuvadhoo,MV,2021-10-18 19:43:35,2.6708,72.8944,82.24,73,99,14.88
261,Weifang,CN,2021-10-18 19:48:31,36.71,119.1019,49.73,70,2,7.09
262,Burnie,AU,2021-10-18 19:45:53,-41.0667,145.9167,44.92,81,58,12.77
263,Avera,US,2021-10-18 19:45:40,33.194,-82.5271,74.08,31,23,2.33
264,Torbeyevo,RU,2021-10-18 19:48:32,54.0797,43.2473,37.11,94,46,6.49
265,Talcahuano,CL,2021-10-18 19:45:15,-36.7167,-73.1167,67.68,60,0,17.27
266,Rondonopolis,BR,2021-10-18 19:48:32,-16.4708,-54.6356,78.67,75,100,4.74
267,Jambusar,IN,2021-10-18 19:48:33,22.05,72.8,79.59,65,1,4.68
268,Oksfjord,NO,2021-10-18 19:46:17,70.2396,22.3479,32.0,78,100,10.13
269,Lorengau,PG,2021-10-18 19:45:56,-2.0226,147.2712,82.13,77,32,10.65
270,Beya,RU,2021-10-18 19:48:33,53.0533,90.9139,37.87,65,37,4.43
271,Carnarvon,AU,2021-10-18 19:46:02,-24.8667,113.6333,75.27,73,90,28.77
272,La Rioja,ES,2021-10-18 19:39:14,42.25,-2.5,58.05,69,100,4.9
273,Dunedin,NZ,2021-10-18 19:47:23,-45.8742,170.5036,49.8,80,98,18.01
274,Hasaki,JP,2021-10-18 19:48:14,35.7333,140.8333,55.8,68,100,13.73
275,Pingliang,CN,2021-10-18 19:48:34,35.5392,106.6861,48.67,56,100,1.05
276,Hithadhoo,MV,2021-10-18 19:43:17,-0.6,73.0833,81.86,73,100,7.58
277,Skjervoy,NO,2021-10-18 19:44:05,70.0311,20.9714,36.82,58,100,17.16
278,Pascagoula,US,2021-10-18 19:48:35,30.3658,-88.5561,75.25,53,1,3.44
279,Los Llanos De Aridane,ES,2021-10-18 19:48:28,28.6585,-17.9182,74.95,31,0,4.61
280,Port Hardy,CA,2021-10-18 19:46:09,50.6996,-127.4199,46.58,76,75,10.36
281,Akdepe,TM,2021-10-18 19:38:46,42.0551,59.3788,48.29,21,79,4.32
282,Mitu,CO,2021-10-18 19:48:38,1.1983,-70.1733,84.52,64,93,2.19
283,Idlib,SY,2021-10-18 19:48:40,35.9306,36.6339,61.99,76,61,8.86
284,Iqaluit,CA,2021-10-18 19:48:04,63.7506,-68.5145,37.13,81,75,21.0
285,Rawson,AR,2021-10-18 19:48:42,-43.3002,-65.1023,74.35,30,0,12.01
286,Sumbe,AO,2021-10-18 19:48:43,-11.2061,13.8437,74.7,81,56,4.9
287,Hamadan,IR,2021-10-18 19:48:43,34.7992,48.5146,54.55,32,0,7.25
288,Ayan,RU,2021-10-18 19:38:51,56.45,138.1667,24.15,52,3,14.16
289,Nyurba,RU,2021-10-18 19:48:44,63.2842,118.3319,32.16,86,100,8.01
290,French Harbor,HN,2021-10-18 19:48:44,16.35,-86.4333,84.99,82,40,5.01
291,Khani,GE,2021-10-18 19:46:27,41.9563,42.9566,49.57,98,100,3.13
292,Port Elizabeth,ZA,2021-10-18 19:41:38,-33.918,25.5701,52.11,87,40,0.0
