City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
324,Leningradskiy,RU,69.3833,178.4167,4.37,94,100,3.49,overcast clouds
325,Palpa,PE,-14.5336,-75.1856,83.08,39,44,10.89,scattered clouds
326,Ambon,ID,-3.6954,128.1814,81.7,81,30,5.88,scattered clouds
327,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,93,90,14.97,mist
328,Puerto Cabezas,NI,14.0351,-83.3888,83.03,79,92,7.09,moderate rain
329,Schiffdorf,DE,53.5333,8.65,53.94,77,100,9.55,overcast clouds
330,Zhucheng,CN,35.9947,119.3975,48.13,68,0,5.75,light rain
331,Mbandaka,CD,0.0487,18.2603,74.68,85,61,2.77,broken clouds
332,Binga,ZW,-17.6203,27.3414,75.09,62,86,6.82,light rain
333,Takestan,IR,36.0696,49.6959,51.93,51,0,6.98,clear sky
334,Lavrentiya,RU,65.5833,-171.0,25.43,70,100,10.25,overcast clouds
335,Moyale,KE,3.5167,39.0584,74.82,52,77,7.14,broken clouds
336,Marabba,SD,12.35,32.1833,89.2,29,3,7.0,clear sky
337,Poronaysk,RU,49.2167,143.1167,27.95,67,97,5.55,overcast clouds
338,Boo,SE,59.3333,18.2833,38.77,87,0,0.0,clear sky
339,Kruisfontein,ZA,-34.0033,24.7314,49.89,66,0,5.08,clear sky
340,San Patricio,US,28.017,-97.5169,82.81,47,3,10.92,clear sky
341,Bull Savanna,JM,17.8868,-77.5902,82.22,72,73,7.02,broken clouds
342,Abha,SA,18.2164,42.5053,62.85,17,0,6.91,clear sky
343,Pitimbu,BR,-7.4706,-34.8086,81.19,73,100,10.63,overcast clouds
